	domain	phylum	order	class	family	genus	quality
2427	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	|70
2429	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|93
2432	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
2433	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Tissierella	|100
2438	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|87
2443	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	|86
2451	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|84
2459	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|100
2460	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus	|98
2461	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|97
2462	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|96
2465	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|83
2481	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|82
2484	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	|97
2485	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	|100
2490	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	|100
2491	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
2492	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	|99
2500	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|99
2502	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	|100
2508	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|100
2529	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|100
2531	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|97
2540	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Methyloversatilis	|93
2542	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium	|100
2548	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	|100
2554	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|90
2557	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|79
2559	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
2566	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|100
2571	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	|100
2573	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|100
2589	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified	|100
2591	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	unclassified	unclassified	|100
2597	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	|80
2602	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	|100
2603	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
2609	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	unclassified	|92
2611	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	|83
2624	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	|96
2627	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	|90
2628	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	|83
2642	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|91
