,SampleID,Env,Region,Contribution
SRR5602145,,Senior,Jiangsu,0.21009107
SRR5602145,,Young,Jiangsu,0.78990895
SRR5602155,,Senior,Jiangsu,0.6802126
SRR5602155,,Young,Jiangsu,0.31978735
SRR5602159,,Senior,Jiangsu,0.6310042
SRR5602159,,Young,Jiangsu,0.3689958
SRR5602160,,Senior,Jiangsu,0.6877856
SRR5602160,,Young,Jiangsu,0.31221437
SRR5602168,,Senior,Jiangsu,0.124092124
SRR5602168,,Young,Jiangsu,0.87590784
SRR5602179,,Senior,Jiangsu,0.6740222
SRR5602179,,Young,Jiangsu,0.32597777
SRR5602182,,Senior,Jiangsu,0.68359023
SRR5602182,,Young,Jiangsu,0.3164098
SRR5602193,,Senior,Jiangsu,0.369835
SRR5602193,,Young,Jiangsu,0.63016504
SRR5602210,,Senior,Jiangsu,0.5752555
SRR5602210,,Young,Jiangsu,0.42474446
SRR5602220,,Senior,Jiangsu,0.6864234
SRR5602220,,Young,Jiangsu,0.3135766
SRR5602234,,Senior,Jiangsu,0.6751735
SRR5602234,,Young,Jiangsu,0.32482657
SRR5602256,,Senior,Jiangsu,0.4351097
SRR5602256,,Young,Jiangsu,0.5648903
SRR5602260,,Senior,Jiangsu,0.6836452
SRR5602260,,Young,Jiangsu,0.3163548
SRR5602284,,Senior,Jiangsu,0.6836394
SRR5602284,,Young,Jiangsu,0.31636065
SRR5602290,,Senior,Jiangsu,0.68340594
SRR5602290,,Young,Jiangsu,0.3165941
SRR5602324,,Senior,Jiangsu,0.6450218
SRR5602324,,Young,Jiangsu,0.3549782
SRR5602333,,Senior,Jiangsu,0.1792229
SRR5602333,,Young,Jiangsu,0.8207771
SRR5602335,,Senior,Jiangsu,0.6889605
SRR5602335,,Young,Jiangsu,0.31103945
SRR5602345,,Senior,Jiangsu,0.68353856
SRR5602345,,Young,Jiangsu,0.3164614
SRR5602349,,Senior,Jiangsu,0.21509649
SRR5602349,,Young,Jiangsu,0.7849035
SRR5602351,,Senior,Jiangsu,0.68335384
SRR5602351,,Young,Jiangsu,0.31664616
C010,,Senior,Italy,0.20765118
C010,,Young,Italy,0.7923488
C012,,Senior,Italy,0.72813743
C012,,Young,Italy,0.2718626
C021,,Senior,Italy,0.73163295
C021,,Young,Italy,0.26836708
C042,,Senior,Italy,0.7310168
C042,,Young,Italy,0.26898322
C052,,Senior,Italy,0.73143435
C052,,Young,Italy,0.26856562
S010,,Senior,Italy,0.13657854
S010,,Young,Italy,0.86342144
S020,,Senior,Italy,0.73006964
S020,,Young,Italy,0.26993042
S030,,Senior,Italy,0.7051062
S030,,Young,Italy,0.29489386
S050,,Senior,Italy,0.65200734
S050,,Young,Italy,0.3479926
S080,,Senior,Italy,0.73163295
S080,,Young,Italy,0.26836708
S100,,Senior,Italy,0.7070296
S100,,Young,Italy,0.29297048
S110,,Senior,Italy,0.7279681
S110,,Young,Italy,0.27203193
S120,,Senior,Italy,0.72409755
S120,,Young,Italy,0.27590242
S130,,Senior,Italy,0.2132188
S130,,Young,Italy,0.78678125
S150,,Senior,Italy,0.65093195
S150,,Young,Italy,0.3490681
S180,,Senior,Italy,0.7313519
S180,,Young,Italy,0.2686481
S200,,Senior,Italy,0.73136544
S200,,Young,Italy,0.26863453
S210,,Senior,Italy,0.13808899
S210,,Young,Italy,0.86191106
S220,,Senior,Italy,0.72957885
S220,,Young,Italy,0.27042112
S240,,Senior,Italy,0.15611242
S240,,Young,Italy,0.84388757
S260,,Senior,Italy,0.57489765
S260,,Young,Italy,0.42510235
S280,,Senior,Italy,0.7295619
S280,,Young,Italy,0.27043813
S290,,Senior,Italy,0.71009266
S290,,Young,Italy,0.28990737
S320,,Senior,Italy,0.7117427
S320,,Young,Italy,0.28825727
S330,,Senior,Italy,0.72701645
S330,,Young,Italy,0.27298355
SRR3679961,,Senior,Sichuan,0.73073393
SRR3679961,,Young,Sichuan,0.269266
SRR3679980,,Senior,Sichuan,0.73163295
SRR3679980,,Young,Sichuan,0.26836708
SRR5602010,,Senior,Jiangsu,0.72998554
SRR5602010,,Young,Jiangsu,0.2700145
SRR5602016,,Senior,Jiangsu,0.7160125
SRR5602016,,Young,Jiangsu,0.28398755
SRR5602092,,Senior,Jiangsu,0.7160544
SRR5602092,,Young,Jiangsu,0.28394562
SRR5602119,,Senior,Jiangsu,0.70896536
SRR5602119,,Young,Jiangsu,0.29103464
SRR5602125,,Senior,Jiangsu,0.14053461
SRR5602125,,Young,Jiangsu,0.8594655
SRR5602134,,Senior,Jiangsu,0.7289561
SRR5602134,,Young,Jiangsu,0.27104396
SRR5602138,,Senior,Jiangsu,0.62405074
SRR5602138,,Young,Jiangsu,0.37594926
SRR5602145,,Senior,Jiangsu,0.33999017
SRR5602145,,Young,Jiangsu,0.6600098
SRR5602155,,Senior,Jiangsu,0.72675353
SRR5602155,,Young,Jiangsu,0.27324647
SRR5602159,,Senior,Jiangsu,0.6325439
SRR5602159,,Young,Jiangsu,0.36745605
SRR5602160,,Senior,Jiangsu,0.7152419
SRR5602160,,Young,Jiangsu,0.28475812
SRR5602168,,Senior,Jiangsu,0.13771929
SRR5602168,,Young,Jiangsu,0.86228067
SRR5602179,,Senior,Jiangsu,0.726965
SRR5602179,,Young,Jiangsu,0.2730349
SRR5602182,,Senior,Jiangsu,0.7312375
SRR5602182,,Young,Jiangsu,0.26876253
SRR5602193,,Senior,Jiangsu,0.66725826
SRR5602193,,Young,Jiangsu,0.3327418
SRR5602210,,Senior,Jiangsu,0.61702263
SRR5602210,,Young,Jiangsu,0.3829773
SRR5602220,,Senior,Jiangsu,0.7047612
SRR5602220,,Young,Jiangsu,0.29523873
SRR5602234,,Senior,Jiangsu,0.68937445
SRR5602234,,Young,Jiangsu,0.31062558
SRR5602256,,Senior,Jiangsu,0.23159508
SRR5602256,,Young,Jiangsu,0.7684049
SRR5602260,,Senior,Jiangsu,0.7316325
SRR5602260,,Young,Jiangsu,0.26836753
SRR5602284,,Senior,Jiangsu,0.73155844
SRR5602284,,Young,Jiangsu,0.2684416
SRR5602290,,Senior,Jiangsu,0.73163295
SRR5602290,,Young,Jiangsu,0.26836708
SRR5602324,,Senior,Jiangsu,0.63278157
SRR5602324,,Young,Jiangsu,0.3672184
SRR5602333,,Senior,Jiangsu,0.6697302
SRR5602333,,Young,Jiangsu,0.33026984
SRR5602335,,Senior,Jiangsu,0.72813964
SRR5602335,,Young,Jiangsu,0.27186033
SRR5602345,,Senior,Jiangsu,0.73116994
SRR5602345,,Young,Jiangsu,0.26883006
SRR5602349,,Senior,Jiangsu,0.20933214
SRR5602349,,Young,Jiangsu,0.79066783
SRR5602351,,Senior,Jiangsu,0.7310708
SRR5602351,,Young,Jiangsu,0.26892912
C010,,Senior,Italy,0.40049732
C010,,Young,Italy,0.5995026
C012,,Senior,Italy,0.6406149
C012,,Young,Italy,0.35938504
C021,,Senior,Italy,0.6406149
C021,,Young,Italy,0.35938504
C042,,Senior,Italy,0.29580906
C042,,Young,Italy,0.70419097
C052,,Senior,Italy,0.6400864
C052,,Young,Italy,0.35991362
S010,,Senior,Italy,0.114318356
S010,,Young,Italy,0.8856816
S020,,Senior,Italy,0.64025956
S020,,Young,Italy,0.35974047
S030,,Senior,Italy,0.111838065
S030,,Young,Italy,0.88816196
S050,,Senior,Italy,0.1241584
S050,,Young,Italy,0.8758416
S080,,Senior,Italy,0.6406149
S080,,Young,Italy,0.35938504
S100,,Senior,Italy,0.6258892
S100,,Young,Italy,0.37411082
S110,,Senior,Italy,0.111907996
S110,,Young,Italy,0.888092
S120,,Senior,Italy,0.6294144
S120,,Young,Italy,0.37058568
S130,,Senior,Italy,0.11384386
S130,,Young,Italy,0.8861562
S150,,Senior,Italy,0.11188964
S150,,Young,Italy,0.88811034
S180,,Senior,Italy,0.65218174
S180,,Young,Italy,0.34781832
S200,,Senior,Italy,0.6404386
S200,,Young,Italy,0.35956135
S210,,Senior,Italy,0.034003258
S210,,Young,Italy,0.9659968
S220,,Senior,Italy,0.17282917
S220,,Young,Italy,0.8271709
S240,,Senior,Italy,0.6143243
S240,,Young,Italy,0.3856757
S260,,Senior,Italy,0.4167765
S260,,Young,Italy,0.5832235
S280,,Senior,Italy,0.65080434
S280,,Young,Italy,0.34919566
S290,,Senior,Italy,0.62815154
S290,,Young,Italy,0.37184846
S320,,Senior,Italy,0.6258804
S320,,Young,Italy,0.3741195
S330,,Senior,Italy,0.20376515
S330,,Young,Italy,0.79623485
SRR3679961,,Senior,Sichuan,0.46438956
SRR3679961,,Young,Sichuan,0.5356104
SRR3679980,,Senior,Sichuan,0.6406149
SRR3679980,,Young,Sichuan,0.35938504
SRR5602010,,Senior,Jiangsu,0.6406102
SRR5602010,,Young,Jiangsu,0.3593898
SRR5602016,,Senior,Jiangsu,0.6529247
SRR5602016,,Young,Jiangsu,0.34707528
SRR5602092,,Senior,Jiangsu,0.6379352
SRR5602092,,Young,Jiangsu,0.3620648
SRR5602119,,Senior,Jiangsu,0.62082815
SRR5602119,,Young,Jiangsu,0.37917182
SRR5602125,,Senior,Jiangsu,0.6406104
SRR5602125,,Young,Jiangsu,0.3593896
SRR5602134,,Senior,Jiangsu,0.6519109
SRR5602134,,Young,Jiangsu,0.34808913
SRR5602138,,Senior,Jiangsu,0.41867626
SRR5602138,,Young,Jiangsu,0.5813238
SRR5602145,,Senior,Jiangsu,0.15093485
SRR5602145,,Young,Jiangsu,0.8490652
SRR5602155,,Senior,Jiangsu,0.646658
SRR5602155,,Young,Jiangsu,0.35334197
SRR5602159,,Senior,Jiangsu,0.6228943
SRR5602159,,Young,Jiangsu,0.37710577
SRR5602160,,Senior,Jiangsu,0.6535016
SRR5602160,,Young,Jiangsu,0.34649846
SRR5602168,,Senior,Jiangsu,0.54927546
SRR5602168,,Young,Jiangsu,0.4507245
SRR5602179,,Senior,Jiangsu,0.61110115
SRR5602179,,Young,Jiangsu,0.38889885
SRR5602182,,Senior,Jiangsu,0.64530736
SRR5602182,,Young,Jiangsu,0.35469264
SRR5602193,,Senior,Jiangsu,0.31736395
SRR5602193,,Young,Jiangsu,0.6826361
SRR5602210,,Senior,Jiangsu,0.4976869
SRR5602210,,Young,Jiangsu,0.5023131
SRR5602220,,Senior,Jiangsu,0.64399993
SRR5602220,,Young,Jiangsu,0.356
SRR5602234,,Senior,Jiangsu,0.60482174
SRR5602234,,Young,Jiangsu,0.39517823
SRR5602256,,Senior,Jiangsu,0.34190875
SRR5602256,,Young,Jiangsu,0.6580913
SRR5602260,,Senior,Jiangsu,0.64061433
SRR5602260,,Young,Jiangsu,0.35938564
SRR5602284,,Senior,Jiangsu,0.640437
SRR5602284,,Young,Jiangsu,0.35956293
SRR5602290,,Senior,Jiangsu,0.6393622
SRR5602290,,Young,Jiangsu,0.36063778
SRR5602324,,Senior,Jiangsu,0.6125607
SRR5602324,,Young,Jiangsu,0.38743937
SRR5602333,,Senior,Jiangsu,0.61709595
SRR5602333,,Young,Jiangsu,0.38290405
SRR5602335,,Senior,Jiangsu,0.65124655
SRR5602335,,Young,Jiangsu,0.34875345
SRR5602345,,Senior,Jiangsu,0.64048874
SRR5602345,,Young,Jiangsu,0.35951126
SRR5602349,,Senior,Jiangsu,0.1622028
SRR5602349,,Young,Jiangsu,0.8377972
SRR5602351,,Senior,Jiangsu,0.65168166
SRR5602351,,Young,Jiangsu,0.3483183
C010,,Senior,Italy,0.22394645
C010,,Young,Italy,0.77605355
C012,,Senior,Italy,0.15806507
C012,,Young,Italy,0.841935
C021,,Senior,Italy,0.8133034
C021,,Young,Italy,0.18669662
C042,,Senior,Italy,0.0693705
C042,,Young,Italy,0.93062955
C052,,Senior,Italy,0.81325626
C052,,Young,Italy,0.18674372
S010,,Senior,Italy,0.16902296
S010,,Young,Italy,0.8309771
S020,,Senior,Italy,0.8132453
S020,,Young,Italy,0.18675472
S030,,Senior,Italy,0.16281426
S030,,Young,Italy,0.83718574
S050,,Senior,Italy,0.16818455
S050,,Young,Italy,0.8318155
S080,,Senior,Italy,0.8133034
S080,,Young,Italy,0.18669662
S100,,Senior,Italy,0.67859876
S100,,Young,Italy,0.32140124
S110,,Senior,Italy,0.16788363
S110,,Young,Italy,0.8321163
S120,,Senior,Italy,0.79020214
S120,,Young,Italy,0.20979784
S130,,Senior,Italy,0.16933917
S130,,Young,Italy,0.8306608
S150,,Senior,Italy,0.16976027
S150,,Young,Italy,0.8302398
S180,,Senior,Italy,0.8132214
S180,,Young,Italy,0.18677865
