,SampleID,Env,Region,Contribution
SRR3680028,,Young,Sichuan,0.45343018
SRR3680042,,Senior,Sichuan,0.5417935
SRR3680042,,Young,Sichuan,0.45820647
SRR3680055,,Senior,Sichuan,0.057841424
SRR3680055,,Young,Sichuan,0.9421586
SRR3680074,,Senior,Sichuan,0.47321975
SRR3680074,,Young,Sichuan,0.52678025
SRR3680078,,Senior,Sichuan,0.5175612
SRR3680078,,Young,Sichuan,0.48243877
SRR3680085,,Senior,Sichuan,0.5464707
SRR3680085,,Young,Sichuan,0.45352927
SRR5601924,,Senior,Jiangsu,0.5180506
SRR5601924,,Young,Jiangsu,0.48194933
SRR5601926,,Senior,Jiangsu,0.48170707
SRR5601926,,Young,Jiangsu,0.51829296
SRR5601928,,Senior,Jiangsu,0.5555557
SRR5601928,,Young,Jiangsu,0.44444424
SRR5601992,,Senior,Jiangsu,0.32455218
SRR5601992,,Young,Jiangsu,0.6754478
SRR5601996,,Senior,Jiangsu,0.028621485
SRR5601996,,Young,Jiangsu,0.9713785
SRR5602020,,Senior,Jiangsu,0.5138209
SRR5602020,,Young,Jiangsu,0.48617908
SRR5602022,,Senior,Jiangsu,0.51783746
SRR5602022,,Young,Jiangsu,0.48216254
SRR5602029,,Senior,Jiangsu,0.48963735
SRR5602029,,Young,Jiangsu,0.5103627
SRR5602030,,Senior,Jiangsu,0.57043636
SRR5602030,,Young,Jiangsu,0.4295636
SRR5602035,,Senior,Jiangsu,0.50362
SRR5602035,,Young,Jiangsu,0.49638003
SRR5602066,,Senior,Jiangsu,0.40455782
SRR5602066,,Young,Jiangsu,0.5954421
SRR5602076,,Senior,Jiangsu,0.034207344
SRR5602076,,Young,Jiangsu,0.9657926
SRR5602114,,Senior,Jiangsu,0.5189773
SRR5602114,,Young,Jiangsu,0.48102272
SRR5602122,,Senior,Jiangsu,0.51925725
SRR5602122,,Young,Jiangsu,0.48074272
SRR5602131,,Senior,Jiangsu,0.39643103
SRR5602131,,Young,Jiangsu,0.603569
SRR5602132,,Senior,Jiangsu,0.5197879
SRR5602132,,Young,Jiangsu,0.480212
SRR5602135,,Senior,Jiangsu,0.4078388
SRR5602135,,Young,Jiangsu,0.59216124
SRR5602137,,Senior,Jiangsu,0.43217033
SRR5602137,,Young,Jiangsu,0.5678296
SRR5602141,,Senior,Jiangsu,0.028621485
SRR5602141,,Young,Jiangsu,0.9713785
SRR5602147,,Senior,Jiangsu,0.21556601
SRR5602147,,Young,Jiangsu,0.78443396
SRR5602166,,Senior,Jiangsu,0.51679933
SRR5602166,,Young,Jiangsu,0.48320064
SRR5602169,,Senior,Jiangsu,0.5678011
SRR5602169,,Young,Jiangsu,0.43219888
SRR5602171,,Senior,Jiangsu,0.14921206
SRR5602171,,Young,Jiangsu,0.85078794
SRR5602173,,Senior,Jiangsu,0.5477223
SRR5602173,,Young,Jiangsu,0.45227772
SRR5602174,,Senior,Jiangsu,0.3991523
SRR5602174,,Young,Jiangsu,0.6008476
SRR5602178,,Senior,Jiangsu,0.034358032
SRR5602178,,Young,Jiangsu,0.965642
SRR5602180,,Senior,Jiangsu,0.46832508
SRR5602180,,Young,Jiangsu,0.53167486
SRR5602185,,Senior,Jiangsu,0.17227596
SRR5602185,,Young,Jiangsu,0.82772404
SRR5602198,,Senior,Jiangsu,0.569886
SRR5602198,,Young,Jiangsu,0.430114
SRR5602213,,Senior,Jiangsu,0.053819045
SRR5602213,,Young,Jiangsu,0.946181
SRR5602230,,Senior,Jiangsu,0.49361536
SRR5602230,,Young,Jiangsu,0.50638473
SRR5602281,,Senior,Jiangsu,0.47111398
SRR5602281,,Young,Jiangsu,0.528886
SRR5602294,,Senior,Jiangsu,0.54571736
SRR5602294,,Young,Jiangsu,0.4542827
SRR5602341,,Senior,Jiangsu,0.5014091
SRR5602341,,Young,Jiangsu,0.49859083
SRR5602343,,Senior,Jiangsu,0.5154412
SRR5602343,,Young,Jiangsu,0.4845588
SRR5609970,,Senior,Jiangsu,0.15076008
SRR5609970,,Young,Jiangsu,0.8492399
SRR5802183,,Senior,Jiangsu,0.04969545
SRR5802183,,Young,Jiangsu,0.9503045
C011,,Senior,Italy,0.41401634
C011,,Young,Italy,0.58598363
C018,,Senior,Italy,0.47434732
C018,,Young,Italy,0.52565265
K100,,Senior,Italy,0.405576
K100,,Young,Italy,0.594424
K306,,Senior,Italy,0.039737687
K306,,Young,Italy,0.96026236
SRR3679930,,Senior,Sichuan,0.33398655
SRR3679930,,Young,Sichuan,0.6660135
SRR3679936,,Senior,Sichuan,0.33778176
SRR3679936,,Young,Sichuan,0.66221833
SRR3679987,,Senior,Sichuan,0.063803144
SRR3679987,,Young,Sichuan,0.9361968
SRR3679996,,Senior,Sichuan,0.5591757
SRR3679996,,Young,Sichuan,0.4408243
SRR3680034,,Senior,Sichuan,0.35840878
SRR3680034,,Young,Sichuan,0.64159125
SRR3680046,,Senior,Sichuan,0.53648496
SRR3680046,,Young,Sichuan,0.46351498
SRR3680048,,Senior,Sichuan,0.32219553
SRR3680048,,Young,Sichuan,0.67780447
SRR3680063,,Senior,Sichuan,0.31648117
SRR3680063,,Young,Sichuan,0.6835188
SRR3680064,,Senior,Sichuan,0.43107453
SRR3680064,,Young,Sichuan,0.56892544
SRR3680072,,Senior,Sichuan,0.3132023
SRR3680072,,Young,Sichuan,0.6867977
SRR3680083,,Senior,Sichuan,0.56882405
SRR3680083,,Young,Sichuan,0.4311759
SRR5601932,,Senior,Jiangsu,0.5257121
SRR5601932,,Young,Jiangsu,0.47428796
SRR5601959,,Senior,Jiangsu,0.02862169
SRR5601959,,Young,Jiangsu,0.97137827
SRR5601985,,Senior,Jiangsu,0.31749764
SRR5601985,,Young,Jiangsu,0.6825024
SRR5601992,,Senior,Jiangsu,0.14661585
SRR5601992,,Young,Jiangsu,0.8533842
SRR5601994,,Senior,Jiangsu,0.3285185
SRR5601994,,Young,Jiangsu,0.6714815
SRR5602011,,Senior,Jiangsu,0.32204378
SRR5602011,,Young,Jiangsu,0.6779562
SRR5602021,,Senior,Jiangsu,0.43471664
SRR5602021,,Young,Jiangsu,0.56528336
SRR5602030,,Senior,Jiangsu,0.56035644
SRR5602030,,Young,Jiangsu,0.4396436
SRR5602038,,Senior,Jiangsu,0.5287336
SRR5602038,,Young,Jiangsu,0.47126642
SRR5602095,,Senior,Jiangsu,0.02862169
SRR5602095,,Young,Jiangsu,0.97137827
SRR5602100,,Senior,Jiangsu,0.5692584
SRR5602100,,Young,Jiangsu,0.4307416
SRR5602114,,Senior,Jiangsu,0.4393423
