,SampleID,Env,Region,Contribution
SRR5602343,,Senior,Jiangsu,0.1794875
SRR5602343,,Young,Jiangsu,0.8205125
SRR5609970,,Senior,Jiangsu,0.74784905
SRR5609970,,Young,Jiangsu,0.25215095
SRR5802183,,Senior,Jiangsu,0.28552273
SRR5802183,,Young,Jiangsu,0.7144773
C011,,Senior,Italy,0.2829679
C011,,Young,Italy,0.7170321
C018,,Senior,Italy,0.5983425
C018,,Young,Italy,0.40165752
K100,,Senior,Italy,0.59942454
K100,,Young,Italy,0.40057546
K306,,Senior,Italy,0.19129518
K306,,Young,Italy,0.80870485
SRR3679930,,Senior,Sichuan,0.56309396
SRR3679930,,Young,Sichuan,0.43690607
SRR3679936,,Senior,Sichuan,0.19307196
SRR3679936,,Young,Sichuan,0.8069281
SRR3679987,,Senior,Sichuan,0.07482168
SRR3679987,,Young,Sichuan,0.9251783
SRR3679996,,Senior,Sichuan,0.59349424
SRR3679996,,Young,Sichuan,0.40650573
SRR3680034,,Senior,Sichuan,0.5224549
SRR3680034,,Young,Sichuan,0.4775451
SRR3680046,,Senior,Sichuan,0.5999087
SRR3680046,,Young,Sichuan,0.4000913
SRR3680048,,Senior,Sichuan,0.5088764
SRR3680048,,Young,Sichuan,0.4911236
SRR3680063,,Senior,Sichuan,0.5607853
SRR3680063,,Young,Sichuan,0.43921468
SRR3680064,,Senior,Sichuan,0.5182802
SRR3680064,,Young,Sichuan,0.48171982
SRR3680072,,Senior,Sichuan,0.5103558
SRR3680072,,Young,Sichuan,0.48964423
SRR3680083,,Senior,Sichuan,0.5938508
SRR3680083,,Young,Sichuan,0.4061492
SRR5601932,,Senior,Jiangsu,0.5689405
SRR5601932,,Young,Jiangsu,0.43105945
SRR5601959,,Senior,Jiangsu,0.030819764
SRR5601959,,Young,Jiangsu,0.9691803
SRR5601985,,Senior,Jiangsu,0.49691024
SRR5601985,,Young,Jiangsu,0.5030898
SRR5601992,,Senior,Jiangsu,0.053736772
SRR5601992,,Young,Jiangsu,0.9462632
SRR5601994,,Senior,Jiangsu,0.48114842
SRR5601994,,Young,Jiangsu,0.5188516
SRR5602011,,Senior,Jiangsu,0.56736827
SRR5602011,,Young,Jiangsu,0.4326317
SRR5602021,,Senior,Jiangsu,0.5590929
SRR5602021,,Young,Jiangsu,0.44090712
SRR5602030,,Senior,Jiangsu,0.59030783
SRR5602030,,Young,Jiangsu,0.40969226
SRR5602038,,Senior,Jiangsu,0.5990874
SRR5602038,,Young,Jiangsu,0.40091258
SRR5602095,,Senior,Jiangsu,0.5999087
SRR5602095,,Young,Jiangsu,0.4000913
SRR5602100,,Senior,Jiangsu,0.4091711
SRR5602100,,Young,Jiangsu,0.59082896
SRR5602114,,Senior,Jiangsu,0.60276645
SRR5602114,,Young,Jiangsu,0.3972335
SRR5602124,,Senior,Jiangsu,0.36790994
SRR5602124,,Young,Jiangsu,0.63209003
SRR5602135,,Senior,Jiangsu,0.108610965
SRR5602135,,Young,Jiangsu,0.891389
SRR5602154,,Senior,Jiangsu,0.59039813
SRR5602154,,Young,Jiangsu,0.40960187
SRR5602157,,Senior,Jiangsu,0.5791585
SRR5602157,,Young,Jiangsu,0.42084154
SRR5602174,,Senior,Jiangsu,0.4510797
SRR5602174,,Young,Jiangsu,0.54892033
SRR5602192,,Senior,Jiangsu,0.5450717
SRR5602192,,Young,Jiangsu,0.45492825
SRR5602198,,Senior,Jiangsu,0.6102322
SRR5602198,,Young,Jiangsu,0.3897678
SRR5602199,,Senior,Jiangsu,0.6098788
SRR5602199,,Young,Jiangsu,0.39012125
SRR5602201,,Senior,Jiangsu,0.5167795
SRR5602201,,Young,Jiangsu,0.48322052
SRR5602202,,Senior,Jiangsu,0.55980855
SRR5602202,,Young,Jiangsu,0.44019148
SRR5602212,,Senior,Jiangsu,0.5509594
SRR5602212,,Young,Jiangsu,0.44904062
SRR5602246,,Senior,Jiangsu,0.58959967
SRR5602246,,Young,Jiangsu,0.4104004
SRR5602247,,Senior,Jiangsu,0.14932571
SRR5602247,,Young,Jiangsu,0.8506743
SRR5602248,,Senior,Jiangsu,0.13207464
SRR5602248,,Young,Jiangsu,0.86792535
SRR5602273,,Senior,Jiangsu,0.19468315
SRR5602273,,Young,Jiangsu,0.80531687
SRR5602289,,Senior,Jiangsu,0.6102831
SRR5602289,,Young,Jiangsu,0.38971692
SRR5602292,,Senior,Jiangsu,0.31027707
SRR5602292,,Young,Jiangsu,0.68972296
SRR5602293,,Senior,Jiangsu,0.579683
SRR5602293,,Young,Jiangsu,0.42031702
SRR5602297,,Senior,Jiangsu,0.5999087
SRR5602297,,Young,Jiangsu,0.4000913
SRR5602305,,Senior,Jiangsu,0.44647345
SRR5602305,,Young,Jiangsu,0.5535266
SRR5602313,,Senior,Jiangsu,0.5999065
SRR5602313,,Young,Jiangsu,0.40009344
SRR5602331,,Senior,Jiangsu,0.5972069
SRR5602331,,Young,Jiangsu,0.40279308
SRR5602338,,Senior,Jiangsu,0.10469879
SRR5602338,,Young,Jiangsu,0.8953012
SRR5602339,,Senior,Jiangsu,0.5909942
SRR5602339,,Young,Jiangsu,0.4090058
SRR5602342,,Senior,Jiangsu,0.60344213
SRR5602342,,Young,Jiangsu,0.39655796
SRR5602347,,Senior,Jiangsu,0.6056799
SRR5602347,,Young,Jiangsu,0.39431998
SRR5609970,,Senior,Jiangsu,0.5763339
SRR5609970,,Young,Jiangsu,0.4236661
SRR5610014,,Senior,Jiangsu,0.6071069
SRR5610014,,Young,Jiangsu,0.3928931
C007,,Senior,Italy,0.13645042
C007,,Young,Italy,0.8635496
C024,,Senior,Italy,0.697681
C024,,Young,Italy,0.302319
K105,,Senior,Italy,0.6623499
K105,,Young,Italy,0.33765015
K119,,Senior,Italy,0.641818
K119,,Young,Italy,0.358182
K124,,Senior,Italy,0.12701896
K124,,Young,Italy,0.8729811
K309,,Senior,Italy,0.7197565
K309,,Young,Italy,0.28024346
K316,,Senior,Italy,0.14207554
K316,,Young,Italy,0.85792446
SRR3679930,,Senior,Sichuan,0.6852163
SRR3679930,,Young,Sichuan,0.31478366
SRR3679931,,Senior,Sichuan,0.68706787
SRR3679931,,Young,Sichuan,0.3129322
SRR3679945,,Senior,Sichuan,0.67705387
SRR3679945,,Young,Sichuan,0.32294616
SRR3679976,,Senior,Sichuan,0.3067001
SRR3679976,,Young,Sichuan,0.6932999
SRR3679985,,Senior,Sichuan,0.68488926
SRR3679985,,Young,Sichuan,0.3151107
SRR3680028,,Senior,Sichuan,0.2567855
SRR3680028,,Young,Sichuan,0.7432144
SRR3680039,,Senior,Sichuan,0.15086864
SRR3680039,,Young,Sichuan,0.8491314
SRR3680042,,Senior,Sichuan,0.66950184
SRR3680042,,Young,Sichuan,0.33049822
SRR3680045,,Senior,Sichuan,0.50842834
SRR3680045,,Young,Sichuan,0.4915717
SRR3680068,,Senior,Sichuan,0.66030246
SRR3680068,,Young,Sichuan,0.33969748
SRR3680080,,Senior,Sichuan,0.7192728
SRR3680080,,Young,Sichuan,0.28072724
SRR3680083,,Senior,Sichuan,0.7193199
