SampleID,Env,Contribution
TQ083,Pupils,0.1269652
TQ084,Pupils,0.13310002
TQ090,Pupils,0.13380958
TQ1,Pupils,0.18059538
TQ10,Pupils,0.2601061
TQ100,Pupils,0.12553455
TQ101,Pupils,0.12688877
TQ102,Pupils,0.13226926
TQ103,Pupils,0.16164066
TQ104,Pupils,0.12717569
TQ105,Pupils,0.12577328
TQ106,Pupils,0.13743676
TQ107,Pupils,0.12557171
TQ108,Pupils,0.1253436
TQ109,Pupils,0.12560253
TQ11,Pupils,0.16717201
TQ110,Pupils,0.127544
TQ111,Pupils,0.12568028
TQ112,Pupils,0.12587237
TQ113,Pupils,0.14287601
TQ114,Pupils,0.12615567
TQ115,Pupils,0.1304395
TQ116,Pupils,0.12664007
TQ117,Pupils,0.12671004
TQ118,Pupils,0.13145122
TQ119,Pupils,0.15037724
TQ12,Pupils,0.15376097
TQ121,Pupils,0.1265414
TQ122,Pupils,0.12730795
TQ124,Pupils,0.1254863
TQ125,Pupils,0.12724862
TQ127,Pupils,0.12530847
TQ128,Pupils,0.12659913
TQ129,Pupils,0.12670656
TQ13,Pupils,0.34542876
TQ130,Pupils,0.13403378
TQ131,Pupils,0.14050746
TQ132,Pupils,0.12630011
TQ133,Pupils,0.12548277
TQ135,Pupils,0.15073566
TQ136,Pupils,0.12572625
TQ137,Pupils,0.13336407
TQ139,Pupils,0.38796318
TQ14,Pupils,0.21835251
TQ140,Pupils,0.12612395
TQ141,Pupils,0.115001775
TQ15,Pupils,0.1272983
TQ16,Pupils,0.15085776
TQ19,Pupils,0.1263149
TQ2,Pupils,0.18079601
TQ20,Pupils,0.12570865
TQ21,Pupils,0.12996389
TQ22,Pupils,0.13222966
TQ23,Pupils,0.12552343
TQ24,Pupils,0.12645079
TQ25,Pupils,0.13018756
TQ26,Pupils,0.12655386
TQ27,Pupils,0.1259802
TQ28,Pupils,0.12574941
TQ29,Pupils,0.12925112
TQ3,Pupils,0.18091385
TQ30,Pupils,0.12544985
TQ31,Pupils,0.1258107
TQ33,Pupils,0.12665734
TQ35,Pupils,0.12550789
TQ36,Pupils,0.1261989
TQ38,Pupils,0.14692545
TQ39,Pupils,0.12686779
TQ4,Pupils,0.23050554
TQ42,Pupils,0.12670709
TQ43,Pupils,0.12630235
TQ44,Pupils,0.13495423
TQ45,Pupils,0.12948848
TQ46,Pupils,0.126435
TQ48,Pupils,0.1291222
TQ49,Pupils,0.1255609
TQ5,Pupils,0.22968267
TQ50,Pupils,0.1356633
TQ51,Pupils,0.12705944
TQ53,Pupils,0.12649746
TQ54,Pupils,0.12594587
TQ55,Pupils,0.12655865
TQ56,Pupils,0.13537902
TQ57,Pupils,0.12613145
TQ58,Pupils,0.1260715
TQ59,Pupils,0.13893108
TQ6,Pupils,0.17300506
TQ61,Pupils,0.12628493
TQ63,Pupils,0.12668225
TQ65,Pupils,0.12579961
TQ66,Pupils,0.12559822
TQ67,Pupils,0.12587655
TQ68,Pupils,0.134649
TQ69,Pupils,0.1340705
TQ7,Pupils,0.14068377
TQ70,Pupils,0.13218659
TQ71,Pupils,0.12572281
TQ72,Pupils,0.12758681
TQ73,Pupils,0.12567978
TQ74,Pupils,0.12687983
TQ75,Pupils,0.12551871
TQ76,Pupils,0.12614456
TQ77,Pupils,0.12595628
TQ78,Pupils,0.12615849
TQ79,Pupils,0.1255407
TQ8,Pupils,0.14325027
TQ80,Pupils,0.1255213
TQ81,Pupils,0.12631872
TQ82,Pupils,0.12553675
TQ85,Pupils,0.1255526
TQ86,Pupils,0.14150049
TQ87,Pupils,0.12634984
TQ89,Pupils,0.12666261
TQ9,Pupils,0.25237945
TQ90,Pupils,0.13053706
TQ92,Pupils,0.13402143
TQ93,Pupils,0.12858827
TQ94,Pupils,0.1254522
TQ95,Pupils,0.12544395
TQ96,Pupils,0.12757674
TQ97,Pupils,0.1254045
TQ98,Pupils,0.12554052
TQ99,Pupils,0.12573345
TZ20,Pupils,0.12729882
TZ7,Pupils,0.13970518
TZ95,Pupils,0.12852697
TZ55,Pupils,0.12741394
TZ86,Pupils,0.1272983
TZ114,Pupils,0.20409304
TZ66,Pupils,0.12733258
TZ15,Pupils,0.22747794
TZ109,Pupils,0.19420154
TZ85,Pupils,0.12697867
TZ115,Pupils,0.12729809
TZ71,Pupils,0.13889895
TZ62,Pupils,0.18362927
TZ64,Pupils,0.134094
TZ112,Pupils,0.1272983
TZ63,Pupils,0.62297237
TZ93,Pupils,0.17043294
TZ74,Pupils,0.19492984
TZ65,Pupils,0.12743796
TZ45,Pupils,0.21199226
TZ11,Pupils,0.12715466
TZ53,Pupils,0.23300895
TZ44,Pupils,0.1349555
TZ34,Pupils,0.12707624
TZ59,Pupils,0.12735544
TZ73,Pupils,0.12726565
TZ94,Pupils,0.13886184
TZ16,Pupils,0.1252425
TZ102,Pupils,0.12717366
TZ38,Pupils,0.1270322
TZ24,Pupils,0.37021232
TZ58,Pupils,0.12830679
TZ28,Pupils,0.29505408
TZ83,Pupils,0.3457842
TZ33,Pupils,0.1270003
TZ29,Pupils,0.13150007
TZ22,Pupils,0.12720402
TZ107,Pupils,0.12694782
TZ12,Pupils,0.1253307
TZ32,Pupils,0.13046521
TZ78,Pupils,0.12729833
TZ6,Pupils,0.20049486
TZ111,Pupils,0.12545364
TZ47,Pupils,0.13452424
TZ88,Pupils,0.12542422
TZ30.1,Pupils,0.12739529
TZ108,Pupils,0.12736154
TZ19,Pupils,0.12934807
TZ40,Pupils,0.17327502
TZ91,Pupils,0.126025
TZ52,Pupils,0.17934735
TZ37,Pupils,0.14297885
TZ101,Pupils,0.12586991
TZ57,Pupils,0.18608269
TZ81,Pupils,0.35985577
TZ13,Pupils,0.3833159
TZ89,Pupils,0.12595016
TZ4,Pupils,0.12668712
TZ87,Pupils,0.13272174
TZ3,Pupils,0.12736416
TZ5,Pupils,0.1267629
TZ8,Pupils,0.12617573
TZ26,Pupils,0.12704298
TZ75,Pupils,0.34536886
TZ80,Pupils,0.13679221
TZ60,Pupils,0.18059537
TZ30,Pupils,0.12664728
TZ56,Pupils,0.12556227
TZ41,Pupils,0.14246617
TZ76,Pupils,0.14281245
TZ9,Pupils,0.13215902
TZ50,Pupils,0.21979764
TZ77,Pupils,0.34557638
TZ68,Pupils,0.14101839
TZ82,Pupils,0.5476862
TZ104,Pupils,0.1272983
TZ110,Pupils,0.35605597
TZ96,Pupils,0.2768909
TZ67,Pupils,0.12715842
TZ92,Pupils,0.1272983
TZ113,Pupils,0.12872685
TZ105,Pupils,0.12647097
TZ69,Pupils,0.13268441
TZ48,Pupils,0.1273309
TZ103,Pupils,0.14619668
TZ61,Pupils,0.13543274
TL100,Pupils,0.1303843
TL30,Pupils,0.13909033
TL107,Pupils,0.1274399
TL106,Pupils,0.12778375
TL80,Pupils,0.12729831
TL76,Pupils,0.12607644
TL65,Pupils,0.12825504
TL7,Pupils,0.14268056
TL96,Pupils,0.1272983
TL86,Pupils,0.12806581
TL103,Pupils,0.12574722
TL95,Pupils,0.12791727
TL111,Pupils,0.12568799
TL61,Pupils,0.12569903
TL94,Pupils,0.1284253
TL62,Pupils,0.14855766
TL63,Pupils,0.2194387
TL37,Pupils,0.12723011
TL116,Pupils,0.12590966
TL31,Pupils,0.12680028
TL118,Pupils,0.12626696
TL13,Pupils,0.12572052
TL121,Pupils,0.1286392
TL57,Pupils,0.12531827
TL87,Pupils,0.12826075
TL64,Pupils,0.12561917
TL2,Pupils,0.14482088
TL108,Pupils,0.12564476
TL73,Pupils,0.1272983
TL55,Pupils,0.15342297
TL109,Pupils,0.12670305
TL77,Pupils,0.15207408
TL38,Pupils,0.12595542
TL12,Pupils,0.12564668
TL67,Pupils,0.12580942
TL10,Pupils,0.1272983
TL3,Pupils,0.1272983
TL14,Pupils,0.20602748
TL97,Pupils,0.21987404
TL123,Pupils,0.1380913
TL6,Pupils,0.34423333
100a,Pupils,0.14149526
TL120,Pupils,0.12721428
TL54,Pupils,0.13750032
TL117,Pupils,0.12629001
TL44,Pupils,0.12569143
TL71,Pupils,0.12725985
TL20,Pupils,0.12616616
TL1,Pupils,0.13625644
TL124,Pupils,0.13081335
TL78,Pupils,0.12554164
TL105,Pupils,0.13009486
TL81,Pupils,0.16111968
TL91,Pupils,0.13502316
TL66,Pupils,0.22360103
TL92,Pupils,0.12955488
TL88,Pupils,0.12846357
TL60,Pupils,0.14297824
TL69,Pupils,0.1272983
TL93,Pupils,0.12622938
TL113,Pupils,0.13273361
TL59,Pupils,0.12585697
TL115,Pupils,0.14077596
TL85,Pupils,0.13760675
TL4,Pupils,0.12654091
TL39,Pupils,0.12793128
TL16,Pupils,0.1809524
TL114,Pupils,0.13920747
TL129,Pupils,0.13571355
TL102,Pupils,0.12538175
TL110,Pupils,0.14106524
TL84,Pupils,0.1272984
TL112,Pupils,0.12626332
TL74,Pupils,0.13192189
TL70,Pupils,0.13799097
TL99,Pupils,0.13959081
TL82,Pupils,0.12579225
TL18,Pupils,0.13000251
TL23,Pupils,0.1310176
TL83,Pupils,0.17798351
100b,Pupils,0.1416612
TL90,Pupils,0.1367813
TL27,Pupils,0.12606993
TL5,Pupils,0.12756968
TL58,Pupils,0.12613891
TL119,Pupils,0.18054591
DYEY1,Kindergarten,0.34279925
DYEY10,Kindergarten,0.39997008
DYEY2,Kindergarten,0.3263986
DYEY3,Kindergarten,0.33149207
DYEY4,Kindergarten,0.1436523
DYEY5,Kindergarten,0.1832412
DYEY6,Kindergarten,0.46313977
DYEY7,Kindergarten,0.44628698
DYEY8,Kindergarten,0.14504413
DYEY9,Kindergarten,0.18494745
TET1,Kindergarten,0.1700236
TET10,Kindergarten,0.33134788
TET100,Kindergarten,0.17028517
TET103,Kindergarten,0.52097344
TET104,Kindergarten,0.41855383
TET105,Kindergarten,0.114967845
TET106,Kindergarten,0.205624
TET107,Kindergarten,0.13349721
TET108,Kindergarten,0.29319122
TET109,Kindergarten,0.13766024
TET110,Kindergarten,0.1625201
TET112,Kindergarten,0.14445348
TET113,Kindergarten,0.35375753
TET114,Kindergarten,0.37634343
TET115,Kindergarten,0.45925286
TET117,Kindergarten,0.45801666
TET118,Kindergarten,0.4407412
TET119,Kindergarten,0.46514562
TET120,Kindergarten,0.5432744
TET121,Kindergarten,0.16190252
TET14,Kindergarten,0.116973385
TET15,Kindergarten,0.16957955
TET16,Kindergarten,0.3818573
TET18,Kindergarten,0.39065874
TET19,Kindergarten,0.147882
TET2,Kindergarten,0.16933298
TET20,Kindergarten,0.12109649
TET24,Kindergarten,0.33828786
TET26,Kindergarten,0.46510002
TET28,Kindergarten,0.36732766
TET29,Kindergarten,0.32535186
TET31,Kindergarten,0.5005046
TET33,Kindergarten,0.37012935
TET34,Kindergarten,0.3165996
TET35,Kindergarten,0.503007
TET36,Kindergarten,0.43136162
TET37,Kindergarten,0.32614705
TET38,Kindergarten,0.3719025
