,root:Pupils,root:kindergarten,root:mid_age,root:mid_school,root:youth
TZX19,0.18163471,0.17661221,0.072337754,0.25496858,0.3144467
TZX2,0.13306655,0.09814021,0.09469705,0.11455867,0.55953753
TZX20,0.08084104,0.15287805,0.10141754,0.071505606,0.59335774
TZX21,0.121424496,0.18583612,0.08779331,0.14459081,0.46035525
TZX23,0.19640242,0.15211463,0.080919005,0.2729568,0.29760715
TZX23.2,0.1749559,0.16239199,0.07409519,0.24269211,0.34586477
TZX24,0.18293194,0.1345747,0.07400878,0.21402404,0.3944605
TZX25,0.16299365,0.18093184,0.124590605,0.14693587,0.38454804
TZX26,0.24333747,0.10772973,0.105383486,0.23679715,0.30675218
TZX27,0.14040135,0.18569154,0.112276986,0.13387533,0.42775476
TZX28,0.1841101,0.17166564,0.06860799,0.27387318,0.30174312
TZX29,0.2205461,0.06995256,0.17006043,0.1655332,0.37390766
TZX3,0.17897424,0.17598349,0.096513644,0.20528793,0.34324074
TZX30,0.14230546,0.16868153,0.09889896,0.15692024,0.43319383
TZX31,0.1618645,0.14814343,0.104056984,0.16774724,0.4181878
TZX32,0.18605167,0.15028214,0.10247404,0.19723171,0.36396042
TZX33,0.18876399,0.17095126,0.07745612,0.24942374,0.31340492
TZX34,0.1701933,0.080770195,0.15297884,0.11327558,0.48278207
TZX35,0.14925446,0.13415639,0.10031555,0.15001081,0.46626288
TZX36,0.17075379,0.19687673,0.088254385,0.1910973,0.35301787
TZX37,0.1862828,0.11503441,0.11148573,0.15896404,0.42823303
TZX38,0.18577695,0.059645772,0.25190476,0.08317826,0.4194943
TZX39,0.13178393,0.1269756,0.10044293,0.124738164,0.5160593
TZX4,0.12780169,0.18728589,0.09403823,0.15287857,0.43799564
TZX40,0.15906711,0.1556226,0.11992003,0.15452805,0.4108622
TZX41,0.1236526,0.25430316,0.067323364,0.17997444,0.37474638
TZX42,0.18450092,0.17205854,0.06853665,0.27523792,0.29966596
TZX43,0.18410449,0.17084832,0.06870217,0.27237895,0.30396608
TZX44,0.18517955,0.16687596,0.0694496,0.26737922,0.31111562
TZX45,0.13413043,0.16788399,0.07414457,0.19411875,0.42972234
TZX46,0.20878522,0.14250095,0.09469803,0.24423997,0.30977583
TZX47,0.1891944,0.1451183,0.12506434,0.1723788,0.36824423
TZX48,0.15628345,0.16596347,0.10209934,0.17088121,0.40477246
TZX49,0.13618568,0.14629082,0.07498581,0.17824817,0.4642895
