SampleID,Env,Contribution
TZ68,Pupils,0.16052657
TZ82,Pupils,0.29339463
TZ104,Pupils,0.28400365
TZ110,Pupils,0.1531265
TZ96,Pupils,0.15740123
TZ67,Pupils,0.1428042
TZ92,Pupils,0.18132935
TZ113,Pupils,0.19162104
TZ105,Pupils,0.124937356
TZ69,Pupils,0.15126655
TZ48,Pupils,0.13153791
TZ103,Pupils,0.20836747
TZ61,Pupils,0.17796275
TL100,Pupils,0.25924608
TL30,Pupils,0.15289168
TL107,Pupils,0.12533312
TL106,Pupils,0.28091663
TL80,Pupils,0.16541874
TL76,Pupils,0.16361453
TL65,Pupils,0.12163059
TL7,Pupils,0.13521993
TL96,Pupils,0.26319888
TL86,Pupils,0.11416416
TL103,Pupils,0.12580244
TL95,Pupils,0.12858672
TL111,Pupils,0.14421882
TL61,Pupils,0.17702027
TL94,Pupils,0.09377792
TL62,Pupils,0.25067115
TL63,Pupils,0.13001022
TL37,Pupils,0.15931259
TL116,Pupils,0.1064992
TL31,Pupils,0.19186272
TL118,Pupils,0.13802613
TL13,Pupils,0.15568234
TL121,Pupils,0.12555109
TL57,Pupils,0.18438064
TL87,Pupils,0.20270549
TL64,Pupils,0.17975895
TL2,Pupils,0.16198799
TL108,Pupils,0.13003099
TL73,Pupils,0.28375533
TL55,Pupils,0.15781468
TL109,Pupils,0.1576759
TL77,Pupils,0.22362381
TL38,Pupils,0.10561786
TL12,Pupils,0.11418883
TL67,Pupils,0.10328954
TL10,Pupils,0.28669629
TL3,Pupils,0.2881992
TL14,Pupils,0.18770555
TL97,Pupils,0.2139762
TL123,Pupils,0.1720444
TL6,Pupils,0.16706525
100a,Pupils,0.17192274
TL120,Pupils,0.066059925
TL54,Pupils,0.15358426
TL117,Pupils,0.17314109
TL44,Pupils,0.1857772
TL71,Pupils,0.12173772
TL20,Pupils,0.15479994
TL1,Pupils,0.123382576
TL124,Pupils,0.21793786
TL78,Pupils,0.16291492
TL105,Pupils,0.12886924
TL81,Pupils,0.16100433
TL91,Pupils,0.12834479
TL66,Pupils,0.17441744
TL92,Pupils,0.117514305
TL88,Pupils,0.15247138
TL60,Pupils,0.12463895
TL69,Pupils,0.285462
TL93,Pupils,0.13427207
TL113,Pupils,0.12627205
TL59,Pupils,0.15298763
TL115,Pupils,0.1289597
TL85,Pupils,0.16881016
TL4,Pupils,0.25055653
TL39,Pupils,0.12507951
TL16,Pupils,0.05962238
TL114,Pupils,0.1421629
TL129,Pupils,0.19609505
TL102,Pupils,0.1520736
TL110,Pupils,0.121159755
TL84,Pupils,0.17213646
TL112,Pupils,0.120187946
TL74,Pupils,0.12654786
TL70,Pupils,0.1544761
TL99,Pupils,0.18191536
TL82,Pupils,0.13202144
TL18,Pupils,0.29646978
TL23,Pupils,0.18498458
TL83,Pupils,0.22377318
100b,Pupils,0.17344359
TL90,Pupils,0.24478124
TL27,Pupils,0.15897769
TL5,Pupils,0.20010965
TL58,Pupils,0.09876936
TL119,Pupils,0.16420105
DYEY1,Kindergarten,0.21413852
DYEY10,Kindergarten,0.29989445
DYEY2,Kindergarten,0.1808369
DYEY3,Kindergarten,0.37005427
DYEY4,Kindergarten,0.1424914
DYEY5,Kindergarten,0.10278744
DYEY6,Kindergarten,0.21694031
DYEY7,Kindergarten,0.17529204
DYEY8,Kindergarten,0.30279508
DYEY9,Kindergarten,0.17290401
TET1,Kindergarten,0.116284214
TET10,Kindergarten,0.17856652
TET100,Kindergarten,0.17279302
TET103,Kindergarten,0.15454753
TET104,Kindergarten,0.04524938
TET105,Kindergarten,0.36483857
TET106,Kindergarten,0.08347895
TET107,Kindergarten,0.109167464
TET108,Kindergarten,0.13701612
TET109,Kindergarten,0.18711396
TET110,Kindergarten,0.142481
TET112,Kindergarten,0.048722595
TET113,Kindergarten,0.16995251
TET114,Kindergarten,0.099761754
TET115,Kindergarten,0.15683997
TET117,Kindergarten,0.27514017
TET118,Kindergarten,0.1347789
TET119,Kindergarten,0.0957028
TET120,Kindergarten,0.15896101
TET121,Kindergarten,0.25591576
TET14,Kindergarten,0.23288052
TET15,Kindergarten,0.06432697
TET16,Kindergarten,0.16832277
TET18,Kindergarten,0.22779332
TET19,Kindergarten,0.27334514
TET2,Kindergarten,0.24885923
TET20,Kindergarten,0.19287483
TET24,Kindergarten,0.1619273
TET26,Kindergarten,0.09901679
TET28,Kindergarten,0.2085686
TET29,Kindergarten,0.15833914
TET31,Kindergarten,0.22818093
TET33,Kindergarten,0.22424299
TET34,Kindergarten,0.22080256
TET35,Kindergarten,0.18762738
TET36,Kindergarten,0.13590841
TET37,Kindergarten,0.269406
TET38,Kindergarten,0.18750887
TET39,Kindergarten,0.17229886
TET4,Kindergarten,0.17057085
TET40,Kindergarten,0.2085447
TET41,Kindergarten,0.16948609
TET42,Kindergarten,0.24717897
TET43,Kindergarten,0.09078811
TET44,Kindergarten,0.16691005
TET45,Kindergarten,0.26367322
TET46,Kindergarten,0.16141455
TET47,Kindergarten,0.13141893
TET48,Kindergarten,0.1209659
TET5,Kindergarten,0.30838662
TET51,Kindergarten,0.065621324
TET52,Kindergarten,0.08739877
TET53,Kindergarten,0.1126129
TET54,Kindergarten,0.10136527
TET56,Kindergarten,0.1455708
TET57,Kindergarten,0.14832298
TET58,Kindergarten,0.1812072
TET6,Kindergarten,0.2097554
TET60,Kindergarten,0.18958877
TET61,Kindergarten,0.19790615
TET62,Kindergarten,0.10078913
TET63,Kindergarten,0.1259872
TET65,Kindergarten,0.33942768
TET67,Kindergarten,0.149528
TET68,Kindergarten,0.06783251
TET7,Kindergarten,0.1842906
TET70,Kindergarten,0.115045354
TET71,Kindergarten,0.2803287
TET72,Kindergarten,0.11455224
TET75,Kindergarten,0.090496026
TET76,Kindergarten,0.12983951
TET77,Kindergarten,0.17920537
TET78,Kindergarten,0.11257888
TET79,Kindergarten,0.18444301
TET8,Kindergarten,0.24277778
TET80,Kindergarten,0.034746
TET81,Kindergarten,0.021512236
TET82,Kindergarten,0.31475535
TET84,Kindergarten,0.14733939
TET85,Kindergarten,0.17090555
TET86,Kindergarten,0.16935651
TET87,Kindergarten,0.15988265
TET88,Kindergarten,0.11374495
TET89,Kindergarten,0.08836246
TET9,Kindergarten,0.1216133
TET90,Kindergarten,0.2849775
TET92,Kindergarten,0.12181322
TET93,Kindergarten,0.11958469
TET94,Kindergarten,0.27679047
TET95,Kindergarten,0.07204744
TET96,Kindergarten,0.31469643
TET97,Kindergarten,0.0989591
TET98,Kindergarten,0.17550816
DXX1,Kindergarten,0.077494636
DXX10,Kindergarten,0.2285441
DXX11,Kindergarten,0.059211083
DXX116,Kindergarten,0.11258719
DXX12,Kindergarten,0.33133742
DXX13,Kindergarten,0.16887619
DXX136,Kindergarten,0.40514052
DXX15,Kindergarten,0.09857261
DXX16,Kindergarten,0.18630803
DXX17,Kindergarten,0.21335265
DXX18,Kindergarten,0.19966823
DXX19,Kindergarten,0.09699504
DXX2,Kindergarten,0.15804854
DXX20,Kindergarten,0.12947893
DXX21,Kindergarten,0.18779282
DXX22,Kindergarten,0.031617958
DXX23,Kindergarten,0.21608847
DXX24,Kindergarten,0.21672072
DXX25,Kindergarten,0.16165751
DXX26,Kindergarten,0.25379097
DXX5,Kindergarten,0.06075546
DXX6,Kindergarten,0.24936314
DXX7,Kindergarten,0.2451357
DXX8,Kindergarten,0.17314334
DXX9,Kindergarten,0.16630308
TXX1,Kindergarten,0.1304567
TXX10,Kindergarten,0.06434268
TXX101,Kindergarten,0.04046283
TXX102,Kindergarten,0.039971642
TXX103,Kindergarten,0.010994576
TXX104,Kindergarten,0.16955824
TXX105,Kindergarten,0.043035693
TXX106,Kindergarten,0.25976223
TXX107,Kindergarten,0.17963637
TXX108,Kindergarten,0.17752765
TXX109,Kindergarten,0.0352341
TXX11,Kindergarten,0.11761374
TXX111,Kindergarten,0.115185104
TXX112,Kindergarten,0.2038341
TXX113,Kindergarten,0.11001715
TXX114,Kindergarten,0.3337015
TXX115,Kindergarten,0.13129681
TXX118,Kindergarten,0.030588796
TXX119,Kindergarten,0.13361484
TXX12,Kindergarten,0.1034106
TXX120,Kindergarten,0.054017927
TXX121,Kindergarten,0.12149607
TXX122,Kindergarten,0.20016482
TXX123,Kindergarten,0.13580063
TXX124,Kindergarten,0.048341926
TXX125,Kindergarten,0.08395683
TXX126,Kindergarten,0.039236035
TXX127,Kindergarten,0.040284395
TXX128,Kindergarten,0.20749277
TXX129,Kindergarten,0.11571598
TXX13,Kindergarten,0.03254653
TXX130,Kindergarten,0.052462585
TXX131,Kindergarten,0.14238599
TXX132,Kindergarten,0.041710638
TXX133,Kindergarten,0.10499987
TXX134,Kindergarten,0.03678779
TXX135,Kindergarten,0.13151282
TXX137,Kindergarten,0.14910537
TXX138,Kindergarten,0.16716656
TXX139,Kindergarten,0.14921674
TXX14,Kindergarten,0.15933298
TXX140,Kindergarten,0.17746183
TXX141,Kindergarten,0.4494021
TXX142,Kindergarten,0.08933476
TXX143,Kindergarten,0.1671729
TXX144,Kindergarten,0.32421347
TXX145,Kindergarten,0.030317828
TXX146,Kindergarten,0.10328287
TXX147,Kindergarten,0.07100801
TXX148,Kindergarten,0.3055673
TXX149,Kindergarten,0.09931251
TXX15,Kindergarten,0.17188501
TXX151,Kindergarten,0.06522254
